12,"Griller Sandwich Maker","Milton Royal Express 800W Toaster Griller Sandwich Maker | Auto Cut Off | Non-Stick Fixed Grill Plates | Easy Clean | Power Indicators | 1 year Manufacturer Warranty - Black",42,8,HA-004,review,"2025-01-17 13:46:09.332200","2025-01-18 22:14:25.259658",0,0,,"2025-01-17 13:46:09.332221",4,8,3,,678
13,Toaster,"Pigeon by Stovekraft 2 Slice Auto Pop up Toaster. A Smart Bread Toaster for Your Home (750 Watt) (black)",43,9,HA-887,review,"2025-01-17 13:50:57.794222","2025-01-17 13:50:57.794232",0,0,"<ul>
	<li>2 slice capacity and auto pop up</li>
	<li>Cool touch body and variable browning control</li>
	<li>Bread slice centering device for even toasting</li>
	<li>Easy slide out crumb tray and cord storage</li>
	<li>Power: 750 watts</li>
	<li>Warranty: 1 year warranty provided by the manufacturer from date of purchase</li>
</ul>","2025-01-17 13:50:57.794242",4,8,3,pigeon,564
14,"Washing Machine","Whirlpool 7.0 Kg 5 Star Ace Supreme Semi-Automatic Top Loading Washing Machine (ACE SUPREME RYL SRS 7.0 GREY DAZZLE (5YR), 4 Year Comprehensive Warranty, 1400 RPM Motor, 5 Year Motor Warranty)",432,18,HA-202,review,"2025-01-17 13:57:20.457158","2025-01-17 13:57:20.457168",0,0,,"2025-01-17 13:57:20.457178",4,9,3,whirlpool,427
15,"Single Door Refrigerator","Samsung 215 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR23D2H359U/HL, Paradise Bloom Blue, Base Stand Drawer, 2024 Model)",865,18,HA-321,review,"2025-01-17 14:02:51.624561","2025-01-17 14:02:51.624574",0,0,,"2025-01-17 14:02:51.624589",4,7,3,samsung,
16,"Single Door Refrigerator","Samsung 215 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR23D2H359U/HL, Paradise Bloom Blue, Base Stand Drawer, 2024 Model)",890,4,HA-897,review,"2025-01-17 14:04:32.088418","2025-01-17 14:04:32.088433",0,0,,"2025-01-17 14:04:32.088443",4,7,3,samsung,2134
17,"Acer Aspire Lite  Laptop","Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.62cm (15.6"") IPS Full HD, Backlit Keyboard, Pure Silver, 1.7KG",1923,21,e-002,review,"2025-01-17 14:13:15.934367","2025-01-19 22:47:48.159394",0,0,,"2025-01-17 14:13:15.934387",2,2,3,Acer,32556
18,"OnePlus 12R","Brand	OnePlus
Operating System	OxygenOS
RAM Memory Installed Size	8 GB
CPU Model	Snapdragon
CPU Speed	3.2 GHz",1727,12,MA-002,review,"2025-01-18 12:09:55.127347","2025-01-18 12:09:55.127359",0,0,"<ul>
	<li><strong>Fast &amp; Smooth for years:</strong> Snapdragon 8 Gen 2 Mobile Platform, Up to 16GB of LPDDR5X RAM with RAM-Vita - Dual Cryo-velocity VC Cooling System, T&Uuml;V S&Uuml;D 48-Month Fluency Rating A</li>
	<li><strong>Pristine Display with Aqua Touch:</strong> Super-Bright 1.5K LTPO ProXDR Display with Dolby Vision, and a DisplayMate A+ rating, Intellignent Eye Care certified by T&Uuml;V Rheinland, 4500 nits Peak Brightness, Aqua Touch helps you stay swiping, even with wet hands</li>
	<li><strong>Computational Photography That&#39;s Incomparable</strong>: RAW HDR Algorithm, 50MP Sony IMX890 Camera and Ultra-wide Camera 112&deg; FoV Sony IMX355, Ultra-Clear Image Quality</li>
	<li><strong>Our Longest-Lasting Battery Ever</strong>: 5500 mAh Battery with 100W SUPERVOOC, Paired with our advanced Battery Health Engine for longevity</li>
	<li><strong>Smoother and more stable connectivity:</strong> WiFi 7 Ready, Enhanced Wi-Fi, Lower gaming latency, Reduced network recovery time</li>
</ul>","2025-01-18 12:09:55.127369",2,1,3,OnePlus,3e4q
19,"iQOO Z9s 5G (Titanium Matte, 8GB RAM, 128GB Storage)","iQOO Z9s 5G (Titanium Matte, 8GB RAM, 128GB Storage) | 120 Hz 3D Curved AMOLED Display | 5500 mAh Ultra-Thin Battery | Dimesity 7300 5G Processor | Sony IMX882 OIS Camera with Aura Light",863,32,E-334,review,"2025-01-18 12:12:45.384776","2025-01-18 12:12:45.384786",0,0,"<ul>
	<li><strong>Display :</strong> Take your cinematic experience to the next level with 120Hz 3D Curved AMOLED display. The 1800 nits local peak brightness ensures outstanding visibility, even in direct sunlight.</li>
	<li><strong>PROCESSOR </strong>: Powered by MediaTek Dimensity 7300 with 702K+ AnTuTu Score, 4nm TSMC Octa-core CPU architecture which gives you effortless multi-tasking. experience</li>
	<li><strong>Design :</strong> iQOO Z9s comes with 0.749cm Ultra Slim body with 5500mAh Battery. Along with 44W FlashCharge which brings you back to entertainment in no time. 50% Charge in just 30 mins. It is IP64 rated - Dust and Water Resistance.</li>
	<li><strong>CAMERA:</strong> Capture colors &amp; details with lifelike Accuracy with the 50MP Sony IMX882 OIS Camera with AURA Light. Features like AI Photo Enhance ensures No memory is blurry &amp; with AI Erase snap worry-free &amp; eliminate any unwanted objects &amp; people from your photo.</li>
	<li><strong>OPERATING SYSTEM : </strong>FunTouch OS 14 based on Android 14 with 2 years of Android &amp; 3 years of security update</li>
</ul>","2025-01-18 12:12:45.384797",2,1,3,IQOO,324
20,"Mobile Stand","FINGERS Hold-Me-Up Portable Universal Mobile Stand (Angle & Height Adjustable, Compact & Foldable, Anti-Slip & Anti-Shake Design, Compatible with Smartphones & Tablets) (Mocha Maroon)",15,11,FA-401,review,"2025-01-18 12:15:47.522887","2025-01-18 12:15:47.522898",0,0,"<ul>
	<li><strong>Seamless Charging:</strong> Comes with a grooving provision at the bottom that enables you to seamlessly charge the device while in use.</li>
	<li><strong>Anti-Slip and Anti-Shake Design:</strong> The pad back and the bottom comes with ABS and Silicone Pad, which ensures the device stays securely in place and is built to last and withstand everyday wear and tear.</li>
	<li><strong>Adjustable Viewing Angle &amp; Collapsible Height:</strong> Equipped with dual hinges, it allows you to adjust it to the desired angle and adjust the height from 115 to 155 mm while watching videos, reading notifications or during video calls.</li>
	<li><strong>Universally Compatible</strong>: Perfectly works with Tablets, iPads, e-Readers, Amazon Kindles, and devices with screen sizes up to 13-inches.</li>
	<li>Compact, Foldable and Portable: Can be fully foldable and super easy to carry and can be taken with you wherever you go.</li>
	<li><strong>3 stunning colours:</strong> Choose from five vibrant colours to match your style</li>
</ul>","2025-01-18 12:15:47.522908",2,1,3,FINGERS,1232
21,"realme NARZO","realme NARZO 70x 5G (Ice Blue, 8GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box",496,13,MA-345,review,"2025-01-18 12:17:59.287263","2025-01-18 12:17:59.287274",0,0,"<ul>
	<li>45W SUPERVOOC Charge provide Charges up to 50% in 31 mins. 5000mAh Massive Battery provide upto 26 days Standby or up to 35 hours Music;</li>
	<li>Fully loaded 120Hz Ultra Smooth Display, Screen-to-body ratio: 91.40% Resolution ratio: FHD+ 1080 &times; 2400 PPI:391PPI,Touch Sampling Rate: 240Hz;</li>
	<li>7.69 mm Ultra-slim ,188g Light Body,The ultra-thin and lightweight body, combined with a width of 7.97cm, allows for comfortable single-handed grip even during extended periods of use; IP54 Dust and Water Resistance;</li>
	<li>MediaTek Dimensity 6100+ processor 5G, T&Uuml;V S&Uuml;D is a renowned certification body, and this product has been subjected to stringent professional testing to ensure a consistently smooth user experience for at least a period of 48 months. with the powerful 5G network connection Intelligent identification of LTE strong signal adjacent areas;</li>
	<li>50MP Primary Camera and Dual Stereo Speakers</li>
</ul>","2025-01-18 12:17:59.287285",2,1,3,realme,234
22,"Hiking Bag","TRAWOC TRAILMASTER 80L Rucksack Bag for Men & Women, Large Water Resistant Trekking Hiking Bag Travel Backpack, 3 Year Warranty",105,21,WA-353,review,"2025-01-18 12:23:29.816608","2025-01-18 12:23:29.816618",0,0,"<ul>
	<li><strong>Internal Fiber Frame for Back Support:</strong> This 80-liter hiking backpack provides excellent support with its internal fiber frame. It includes a padded laptop sleeve for laptops up to 16.5 inches and features multiple straps, buckles, and pockets for organizing your travel essentials. Perfect for camping, hiking, and sports trips.</li>
	<li><strong>Adjustable Torso &amp; Padded Back Panel:</strong> With a 5-step torso adjustment system, this rucksack ensures a perfect fit for any user, ideal for long hikes. The padded back panel with air ventilation and the chest strap with safety whistle buckle, along with the padded hip belt with zipper pocket, ensure comfort and stability.</li>
	<li><strong>Smart &amp; Trendy Looks:</strong> This rucksack, measuring 81 x 32 cm, combines functionality and style. Its athletic design in grey and red is perfect for hiking and mountaineering. It also features a spacious top zipper compartment and a dedicated shoe compartment.</li>
	<li><strong>Durable &amp; Long-Lasting</strong>: Made from durable materials, this trekking backpack withstands all weather conditions, from heavy rain to extreme heat, ensuring the safety of your belongings.</li>
	<li><strong>Integrated Rain Cover &amp; 3-Year Warranty:</strong> Includes a waterproof integrated rain cover and water-resistant fabric. This versatile bag comes with a 3-year manufacturer warranty, making it ideal for flight travel, backpackers, and bike riders.</li>
</ul>","2025-01-18 12:23:29.816628",5,11,3,,2141
23,"Nail Scissors Grooming Kit","Beauté Secrets Essentials Manicure Set Nail Clippers, Stainless Steel Nail Scissors Grooming Kit, Acne needle, Blackhead Tool Leather Travel Case (Yellow)",17,21,WQ-976,review,"2025-01-18 12:28:46.207983","2025-01-18 12:28:46.207993",0,0,"<ul>
	<li>12 in1 Tool kit&ndash; Best all purpose manicure kit for any use, contains 12pcs tools for Facial Care Tools, Manicure Kit, Pedicure Set, this set has everything you need.</li>
	<li>High quality &amp; Very Well Organized &ndash; Made of high grade stainless steel to allow safe sterilization, prevent corrosion and minimize risk of infection. All of them are covered with black protection to prevent corrosion.</li>
	<li>Portable &amp; Comfortable - Easy open with button, carry it with you in bag everyday or pack it with you when you go traveling.</li>
	<li>Fantastic Gift- With the beautiful and stylish case, make it become an ideal gift for everyone you love.</li>
	<li>Stay sharp and good looking - The clippers are solid and they cut well, you can enjoy high razor edge retention and color fastness even after running through a long time</li>
</ul>","2025-01-18 12:28:46.208003",3,6,3,,2341
24,"Tent for Camping","Lifelong Polyester Tent for Camping - Dress Changing Pop Up with Portable Foldable Cloth Outdoor Bathroom Tent, Camp Toilet Rain Shelter (Green1 Person)",69,11,HA-007,review,"2025-01-18 12:31:30.472641","2025-01-18 12:31:30.472651",0,0,"<ul>
	<li><strong>Pop-up Design:</strong> Easily set up and take down this tent in seconds, making it convenient for camping trips or outdoor events.</li>
	<li><strong>Versatile Usage:</strong> Ideal as a changing room, dressing tent, outdoor bathroom, camp toilet tent, or rain shelter, providing multiple functionalities in one compact structure.</li>
	<li><strong>Portable and Foldable:</strong> Designed to be lightweight and foldable, allowing for easy transport and storage when not in use, perfect for on-the-go camping enthusiasts.</li>
	<li><strong>Durable Construction</strong>: Constructed with high-quality materials to withstand outdoor conditions, ensuring longevity and reliability during your adventures.</li>
	<li><strong>Privacy and Protection:</strong> Offers privacy and protection from the elements, giving you a comfortable space to change clothes, use the restroom, or seek shelter from rain or wind while enjoying the outdoors</li>
</ul>","2025-01-18 12:31:30.472661",5,11,3,,2323
25,Binoculars,"Virtutron 8 x 40 Zoom Long Distance High Powered Binoculars for Adults | Long Range | Professional Gear for Camping | Bird Watching | Hiking | Sports -Prism Optics (Green)",51,21,AW-7223,review,"2025-01-18 12:40:18.118644","2025-01-18 12:40:18.118654",0,0,"<ul>
	<li><strong>1 Easy to focus:</strong> It&#39;s easy and straight forward to adjust these binoculars: align them with your eye distance, bring the lenses close to your eyes, and rotate until the images merge clearly. The central focusing wheel moves quickly and accurately when switching between the left eye, helped by an anti-slip design for extra convenience.</li>
	<li><strong>2. Pleasurable Bird Watching &amp; Travel:</strong> Designed for user comfort, these premium concert binoculars include ergonomic grips and easy-to-operate focus wheels. Experience swift and precise visuals with these binoculars, ensuring you never miss captivating scenery due to sluggish focusing.</li>
	<li><strong>3. ALL ESSENTIALS INCLUDED</strong>: Begin your explorations today with this robust pair of water-resistant full-size binoculars. Included accessories: carrying pouch, lens covers, eyepiece covers.</li>
	<li><strong>4. EXCELLENT OPTICAL ENGINEERING</strong>: These 8x40 high-powered binoculars include multi-coated BK-7 prism glass that enhances light transmission, providing brighter, clearer images with high contrast, and 8x magnification to get you closer to the action.</li>
	<li><strong>5. A DURABLE AND COMFORTABLE BUILD:</strong> The Virtutron 8x40 water-resistant binocular will be your dependable partner for events, bird watching for years to come</li>
</ul>","2025-01-18 12:40:18.118664",5,11,3,Virtutron,32412
26,"Outdoor Camping","STRAUSS Portable Tent for Camping | Ideal for 2 Persons | Easy Setup for Picnic, Travel, Hiking, Trekking, Outdoor Camping | Waterproof and Windproof Tent | Superior Air Ventilation, Multicolor",43,11,FA-678,review,"2025-01-18 12:43:06.109296","2025-01-18 12:43:06.109307",0,0,"<ul>
	<li>Great sleeping capacity: The spacious dome shape tent enables 2 people to sleep in with comfort large space and ultimate protection against leaks</li>
	<li>Thoughtful design: A top mesh window allows the inner air more breathable, the outer curtain can roll up so as to keep ventilating and a durable zipper enables to instantly open for easily entry/exit</li>
	<li>Protects from wind, sunlight, rain, insects breathable fabric and Durable water resistant with coated-polyester fabric and Ideal Camping and Outdoor activities</li>
	<li>Two large zippered d-shape door, dual zipper, easy to get in and out excellent ventilation mesh proof</li>
	<li>Livability features such as comfort and convenience and easy setup in only 10 minutes</li>
</ul>","2025-01-18 12:43:06.109318",5,11,3,,4325
27,"Cotton Socks Men & Women for Sports","XJARVIS CUBA/LYON Ankle Length Cotton Socks Men & Women for Sports Unisex Multicolor Socks Ideal for Gym, Casual Wear & Running Odor Free",15,15,WQ-876,review,"2025-01-18 12:46:53.362439","2025-01-18 12:46:53.362449",0,0,"<ul>
	<li><strong>DURABLE:</strong> Pack of 12 pairs Multiple colors are available for ankle socks (Black, Dark Grey, Grey, Navy &amp; White socks color may vary). All feet fall into the same size between 7 and 11. Included are twelve sets of cotton ankle socks for men and women that are odor-resistant and have breathable mesh on top of the foot. A remarkably soft and quickly absorbs sweat while keeping your feet dry and protecting them from harm.</li>
	<li><strong>VERSATILE: </strong>Fit For Gym, Casual Wear &amp; Running Our athletic ankle socks are made to be used on a regular basis and improve your performance whether you&#39;re doing yoga &amp; gym, cycling, running, walking, standing, travelling, or simply relaxing on the couch. The athletic ankle socks have excellent recovery and stretch. These athletic ankle socks won&#39;t break easily, So you may use them for a long time without worrying.</li>
	<li><strong>STAY COOL: </strong>Our long-fiber cotton knitting technique makes our multicolor socks for men and women light and breathable, Allowing your feet to breathe easily whether exercising or jogging. For long-lasting protection and a soft landing with each step. The cool comfort fabric absorbs away sweat, keeping your feet cool and dry during the entire day.</li>
	<li><strong>GOOD COMFORT</strong>: Sports Socks for further protection and comfort in high-wear areas, these men and women socks have soft around the ankle. Ankle socks for men and golf socks also provide stability for a proper fit and an arch that is suited to protect you as you walk, jog and run.</li>
	<li><strong>EVERY SEASON: </strong>Our men&#39;s athletic unisex sports socks are neither too thick nor too thin, keeping you warm in the winter and cool in the summer. Our unisex cotton socks are expertly designed for various sports, including tennis, marathons, golf, cycling, trekking, and mountain climbing. Simple socks can be used with any everyday outfit by adults and teenagers.</li>
</ul>","2025-01-18 12:46:53.362459",5,12,3,,3157
28,"Gym Bench","Flexnest Commercial Grade Adjustable And Foldable Gym Bench Incline,Decline & Flat 250 Kg Capacity Fitness Gym Bench with Resistance Ropes For Home Workout,Premium Leather Adjustable Multi-Purpose Machine (Flexbench EZ - Black)",198,22,AW-98792,review,"2025-01-18 12:54:57.236440","2025-01-18 12:54:57.236450",0,0,"<ul>
	<li>Heavy-Duty Construction: Built for durability and stability, this gym bench boasts a robust frame with a flat 250 kg weight capacity, ensuring safety and reliability during intense workouts. The premium leather upholstery adds comfort and luxury to your exercise experience.</li>
	<li>Incline, Decline, and Flat Settings: The bench can be adjusted to various angles, allowing you to perform a wide range of exercises targeting different muscle groups. Whether you need an incline for shoulder presses or a decline for abdominal exercises, this bench accommodates your workout needs.</li>
	<li>Space-Saving Storage: The bench features a foldable design that allows it to be compactly stored when not in use. This makes it ideal for home gyms with limited space, as it can be easily folded and tucked away.</li>
	<li>Durable and Comfortable: The bench is upholstered in high-quality PU leather, offering both durability and comfort. This material is easy to clean and maintains its appearance over time, while also providing a cushioned surface for your workouts.</li>
	<li>Enhanced Exercise Options: Included with the bench are resistance ropes, which can be used to add extra resistance to your exercises. These ropes are great for increasing the intensity of your workouts and can be used for strength training and stretching.</li>
	<li>User-Friendly Setup: The bench comes with clear and straightforward assembly instructions, making it easy to set up and start using right away. This ensures that you can quickly get your home gym up and running with minimal hassle.</li>
</ul>","2025-01-18 12:54:57.236460",5,10,3,,4683
29,"Gripper for Men & Women","Bodyband Hand Grip Workout Strengthener, Adjustable Hand Gripper for Men & Women for Gym Workout Hand Exercise Equipment to Use in Home for Forearm Exercise, Finger Power Gripper",4,14,AW-355,review,"2025-01-18 13:00:17.527041","2025-01-18 13:00:17.527051",0,0,"<ul>
	<li><strong>ADJUSTABLE RESISTANCE : </strong>Hand gripper 40 kg is easy to adjust the resistance from 10-40Kgs as needs. The hand Gripper is suitable for everyone, like Athletes, sports, fitness coaches, fitness, musicians and people who want to exercise their hand, wrist and fingers. Also its easy and fast to do so. The resistance of hand grips for strength training is perfect for both men and women with different strength as it can be adjusted easily.</li>
	<li><strong>COMFORTABLE HANDLE :</strong> Arm exercise equipment men is comfortable to hold and made from non-slip material. Gym hand grip holds your hands to keep from slipping during the workout exercise, and protects your hands from pain. You can feel the hand grip sticks on you hands. The size of the gripper is optimized for the general handle length of hand grips, so it&rsquo;s available to wrap and use onto all types of hand grips. Hence it will give you extra grip and comfort while exercise.</li>
	<li><strong>FOREARM &amp; FINGER EXERCISE EQUIPMENT :</strong> Our hand grip strengthener is useful in forearm/wrist workout as well as in finger exercise. To gain a good grip strength, you should do hand grip workout with a low resistance on a regular basis. Perfect for improving power and flexibility of forearm, wrists, fingers, hand ,and muscle building. Excellent for recovery of hand injury.</li>
	<li><strong>DURABLE : </strong>Quality material used in handgrip exerciser e.g. spring made from high quality staleness steel, quality non- slip material used on handles. The grip strengthener, made of the latest upgraded material, has a longer handle than others, which is more convenient for you to hold; in addition, the handle material is strong and durable, which perfectly avoids the problem of the handle breaking during exercise.</li>
	<li><strong>GYM AND HOME USE :</strong> Our hand grip for gym is suitable in gym and home use as well as for men and women, it is easy to use and easy to handle is well. Exercise anywhere, anytime you want; you can use in your home, office, car, fitness club, and even in a library. Completely silent operation allows you to strengthen your hand grip and exercise your forearms and wrist without detection. You don&#39;t need to carry various kinds of hand grip, only one hand grip strengthener you need.</li>
</ul>","2025-01-18 13:00:17.527061",5,10,3,,32423
30,"Storage Case for Rings, Earrings, Necklace","Shining Diva Fashion Jewellery Organisers Box PU Leather Storage Case for Rings, Earrings, Necklace Jewelry Organizer for Women Travel (BOX1002) (White)",16,14,QA-7877,review,"2025-01-18 13:03:28.060621","2025-01-18 13:03:28.060632",0,0,"<ul>
	<li>MULTIPLE FUNCTION : 2 Layers Jewellery Organiser Box for rings, necklaces, earrings, ear studs, cufflinks etc. It will protect your jewellery inside against dust, fingerprints, scratches, damages and theft. PLEASE NOTE THAT JEWELLERY AND ACCESSORIES ARE NOT INCLUDED</li>
	<li>PERFECT DESIGN CONCEPT : This double layer jewelry organizer box is spacious with many different compartments, not only helps keep everything separate but also keep everything stay in place and not messed up. It has sections big enough for bracelets and smaller separate sections for rings, earrings etc. Also a great way to keep necklace from tangling. Whether you travel frequently or just want everything in one place to grab quickly, it&rsquo;s a great idea</li>
	<li>PORTABLE DIMESNION : 16.5 x 11.5 x 5.5 cm, with compact dimensions it fits well in a handbag or luggage for holidays, overnight stays or business trips. Store your beloved jewelry well</li>
	<li>PREMIUM QUALITY : It is make of faux leather, inside soft lining protects jewellery from scratches and damage. The exterior is made of PU leather, durable, odorless, waterproof. It is pressure-resistant and moisture-proof which protects your jewellery from damage to the largest extent</li>
	<li>IDEAL GIFT CHOICE : Shining Diva personalized jewellery box is a perfect gift for your wife, girlfriend, sister, mom, or daughter. It&#39;s also the ideal gift for Mother&#39;s Day, Women&#39;s Day, birthday gifts, anniversaries, Valentine gifts, and wedding gifts. An easy solution to the difficulty of choosing jewelry for girls when they travel</li>
</ul>","2025-01-18 13:03:28.060644",3,6,3,,egvreb
31,"Butterfly Jewellery Necklace","Shining Diva Fashion 5-6 Pcs Latest Stylish Butterfly Jewellery Necklace Set for Women Pendant Necklace Gifts for Girls",12,21,QA-876,review,"2025-01-18 13:05:39.103989","2025-01-18 13:05:39.103998",0,0,"<ul>
	<li>Butterfly Necklaces: Package contains 5 butterfly necklaces in different colors, Each color butterfly necklace has its own style, Simple and beautiful, this stylish butterfly necklace will show your nobility.</li>
	<li>Gifts: Colorful butterfly necklaces are popular with girls and women, you can give the necklace as a gift for your wife, girlfriend, mother on special occasions, they will also love this stylish butterfly necklace.</li>
	<li>Occasion: You can choose butterfly necklaces of different colors as accessories according to your different outfits. Butterfly Necklaces are perfect for birthdays, holidays, beach parties, festivals and more.</li>
	<li>Design: Butterflies are a representative of happiness. At the same time, butterfly also symbolizes wealth, auspiciousness, health and happiness. It is a great gift for you to express your love to your lover. You can use it as a gift for your loved one.</li>
	<li>Shining diva is a well known brand across fashion jewellery sector shining diva products are preferred by many designers, stars and celebrities shining diva fashion jewelry believes in making beauty and fashion a part of everybody&#39;s life</li>
</ul>","2025-01-18 13:05:39.104008",3,6,3,,23r523
32,"MOBI Hand & Body Soap Rose 3L","This is Liquid Soap",25,100,6281142001016-1,active,"2025-01-20 12:42:08.556512","2025-01-20 12:42:57.236445",0,0,"<p>This is Liquid Soap with rose flavour&nbsp;</p>","2025-01-20 12:42:08.556553",6,13,4,MOBI,6281142001016
33,"3D Decorative set","3D Decorative set3D Decorative set
3D Decorative set3D Decorative set
3D Decorative set3D Decorative set
3D Decorative set",120000,32,012341,active,"2025-01-23 05:41:24.069204","2025-01-23 05:41:24.069215",1,12,"<p>3D Decorative set<br />
3D Decorative set<br />
3D Decorative set</p>","2025-01-23 05:41:24.069227",7,11,1,"Decorative set",2134123
